Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
Wnt signaling pathway	16165	INOH	9606	9	91	1.9102730895247935E-6	2.8654096342871903E-5	CSNK1E; EP300; LRP5; LRP6; MAP3K7; TLE1; TLE2; YWHAE; YWHAQ; 	CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; EP300|IDBG-8992|ENSG00000100393|2033|; LRP5|IDBG-61383|ENSG00000162337|4041|; LRP6|IDBG-20075|ENSG00000070018|4040|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; YWHAE|IDBG-14629|ENSG00000108953|7531|; YWHAQ|IDBG-27933|ENSG00000134308|10971|; 
Cell Cycle	18205	REACTOME	9606	21	523	1.8905270887190513E-6	2.9145625951085374E-5	CCNB2; CSNK1E; CSNK2A1; EP300; GMNN; HIST2H2AC; HIST2H2BE; HIST3H3; MCM2; MIS12; ODF2; PCNA; POT1; PRIM1; PRIM2; RAD51; TERF1; TERF2IP; TUBA4A; UBC; YWHAE; 	CCNB2|IDBG-14456|ENSG00000157456|9133|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; EP300|IDBG-8992|ENSG00000100393|2033|; GMNN|IDBG-65780|ENSG00000112312|51053|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; MCM2|IDBG-54871|ENSG00000073111|4171|; MIS12|IDBG-21731|ENSG00000167842|79003|; ODF2|IDBG-88092|ENSG00000136811|4957|; PCNA|IDBG-50801|ENSG00000132646|5111|; POT1|IDBG-39151|ENSG00000128513|25913|; PRIM1|IDBG-41538|ENSG00000198056|5557|; PRIM2|IDBG-91619|ENSG00000146143|5558|; RAD51|IDBG-6509|ENSG00000051180|5888|; TERF1|IDBG-25349|ENSG00000147601|7013|; TERF2IP|IDBG-42783|ENSG00000166848|54386|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; UBC|IDBG-64029|ENSG00000150991|7316|; YWHAE|IDBG-14629|ENSG00000108953|7531|; 
TGF_beta_Receptor	15911	NETPATH	9606	13	220	3.603258452477135E-6	5.26265379243371E-5	AR; CCNB2; EP300; ESR1; EWSR1; KPNB1; MAP3K7; PPM1A; SHC1; SMAD2; SMAD3; SP1; TAB1; 	AR|IDBG-73722|ENSG00000169083|367|; CCNB2|IDBG-14456|ENSG00000157456|9133|; EP300|IDBG-8992|ENSG00000100393|2033|; ESR1|IDBG-97997|ENSG00000091831|2099|; EWSR1|IDBG-3488|ENSG00000182944|2130|; KPNB1|IDBG-56053|ENSG00000108424|3837|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SHC1|IDBG-103007|ENSG00000160691|6464|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
Tgf beta signaling pathway	4035	PID BIOCARTA	9606	5	20	3.843105271157099E-6	5.332308563730475E-5	EP300; MAP3K7; SMAD2; SMAD3; TAB1; 	EP300|IDBG-8992|ENSG00000100393|2033|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
Signaling by Wnt	17272	REACTOME	9606	15	294	3.822130014516411E-6	5.439185020657969E-5	AKT2; CHD8; CSNK1E; CSNK2A1; CUL3; EP300; HIST2H2AC; HIST2H2BE; HIST3H3; LRP5; LRP6; MAP3K7; TLE1; TLE2; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; CHD8|IDBG-2645|ENSG00000100888|57680|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; CUL3|IDBG-82331|ENSG00000036257|8452|; EP300|IDBG-8992|ENSG00000100393|2033|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; LRP5|IDBG-61383|ENSG00000162337|4041|; LRP6|IDBG-20075|ENSG00000070018|4040|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Packaging Of Telomere Ends	12919	REACTOME	9606	6	35	4.186914928705594E-6	5.667653135199036E-5	HIST2H2AC; HIST2H2BE; HIST3H3; POT1; TERF1; TERF2IP; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; POT1|IDBG-39151|ENSG00000128513|25913|; TERF1|IDBG-25349|ENSG00000147601|7013|; TERF2IP|IDBG-42783|ENSG00000166848|54386|; 
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	13720	REACTOME	9606	7	56	5.785241411620379E-6	7.466997635928629E-5	EP300; HDAC3; NCOR1; NCOR2; TBL1X; TBL1XR1; UBC; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Constitutive Signaling by NOTCH1 PEST Domain Mutants	13718	REACTOME	9606	7	56	5.785241411620379E-6	7.466997635928629E-5	EP300; HDAC3; NCOR1; NCOR2; TBL1X; TBL1XR1; UBC; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Cellular Senescence	18630	REACTOME	9606	11	164	6.340088076384544E-6	7.99715655089414E-5	CBX2; HIST2H2AC; HIST2H2BE; HIST3H3; POT1; RNF2; SP1; SUZ12; TERF1; TERF2IP; UBC; 	CBX2|IDBG-71184|ENSG00000173894|84733|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; POT1|IDBG-39151|ENSG00000128513|25913|; RNF2|IDBG-105369|ENSG00000121481|6045|; SP1|IDBG-36616|ENSG00000185591|6667|; SUZ12|IDBG-39777|ENSG00000178691|23512|; TERF1|IDBG-25349|ENSG00000147601|7013|; TERF2IP|IDBG-42783|ENSG00000166848|54386|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Signaling by NOTCH	18790	REACTOME	9606	9	109	8.600029930478122E-6	1.0606703580923017E-4	EP300; HDAC3; NCOR1; NCOR2; TBL1X; TBL1XR1; TLE1; TLE2; UBC; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Regulation of cytoplasmic and nuclear SMAD2/3 signaling	15659	PID NCI	9606	4	12	1.0860660699184175E-5	1.3103623234885254E-4	KPNB1; PPM1A; SMAD2; SMAD3; 	KPNB1|IDBG-56053|ENSG00000108424|3837|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; 
Disease	19807	REACTOME	9606	32	1192	1.8620324366831874E-5	2.1987829837429127E-4	AKT2; APP; CHD8; CSNK1E; CSNK2A1; CUL3; EGFR; EP300; HDAC3; HIST2H2AC; HIST2H2BE; HIST3H3; HS2ST1; JAK2; KPNB1; LRP5; LRP6; NCOR1; NCOR2; PPM1A; PRPS1; RPS4Y1; SHC1; SMAD2; SMAD3; SP1; SV2B; TBL1X; TBL1XR1; TLE1; TLE2; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; APP|IDBG-1100|ENSG00000142192|351|; CHD8|IDBG-2645|ENSG00000100888|57680|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; CUL3|IDBG-82331|ENSG00000036257|8452|; EGFR|IDBG-16933|ENSG00000146648|1956|; EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; HS2ST1|IDBG-100108|ENSG00000153936|9653|; JAK2|IDBG-47039|ENSG00000096968|3717|; KPNB1|IDBG-56053|ENSG00000108424|3837|; LRP5|IDBG-61383|ENSG00000162337|4041|; LRP6|IDBG-20075|ENSG00000070018|4040|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; PRPS1|IDBG-81487|ENSG00000147224|5631|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; SHC1|IDBG-103007|ENSG00000160691|6464|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; SV2B|IDBG-30872|ENSG00000185518|9899|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Loss of Function of SMAD2/3 in Cancer	17055	REACTOME	9606	7	70	2.5862467630797106E-5	2.3151079895310312E-4	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; SP1; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Loss of Function of SMAD4 in Cancer	17027	REACTOME	9606	7	70	2.5862467630797106E-5	2.3151079895310312E-4	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; SP1; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Loss of Function of TGFBR1 in Cancer	19193	REACTOME	9606	7	70	2.5862467630797106E-5	2.3151079895310312E-4	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; SP1; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Loss of Function of TGFBR2 in Cancer	18204	REACTOME	9606	7	70	2.5862467630797106E-5	2.3151079895310312E-4	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; SP1; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Regulation of nuclear SMAD2/3 signaling	15480	PID NCI	9606	7	70	2.5862467630797106E-5	2.3151079895310312E-4	AR; EP300; ESR1; NCOR1; SMAD2; SMAD3; SP1; 	AR|IDBG-73722|ENSG00000169083|367|; EP300|IDBG-8992|ENSG00000100393|2033|; ESR1|IDBG-97997|ENSG00000091831|2099|; NCOR1|IDBG-31971|ENSG00000141027|9611|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; 
SMAD2/3 MH2 Domain Mutants in Cancer	18188	REACTOME	9606	7	70	2.5862467630797106E-5	2.3151079895310312E-4	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; SP1; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
SMAD2/3 Phosphorylation Motif Mutants in Cancer	18488	REACTOME	9606	7	70	2.5862467630797106E-5	2.3151079895310312E-4	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; SP1; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
SMAD4 MH2 Domain Mutants in Cancer	16763	REACTOME	9606	7	70	2.5862467630797106E-5	2.3151079895310312E-4	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; SP1; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Signaling by TGF-beta Receptor Complex	19869	REACTOME	9606	7	70	2.5862467630797106E-5	2.3151079895310312E-4	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; SP1; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Signaling by TGF-beta Receptor Complex in Cancer	17260	REACTOME	9606	7	70	2.5862467630797106E-5	2.3151079895310312E-4	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; SP1; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
TGFBR1 KD Mutants in Cancer	18966	REACTOME	9606	7	70	2.5862467630797106E-5	2.3151079895310312E-4	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; SP1; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
TGFBR1 LBD Mutants in Cancer	19248	REACTOME	9606	7	70	2.5862467630797106E-5	2.3151079895310312E-4	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; SP1; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
TGFBR2 Kinase Domain Mutants in Cancer	19454	REACTOME	9606	7	70	2.5862467630797106E-5	2.3151079895310312E-4	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; SP1; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
TGFBR2 MSI Frameshift Mutants in Cancer	17966	REACTOME	9606	7	70	2.5862467630797106E-5	2.3151079895310312E-4	NCOR1; NCOR2; PPM1A; SMAD2; SMAD3; SP1; UBC; 	NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Role of erbb2 in signal transduction and oncology	4019	PID BIOCARTA	9606	5	28	2.2478560715984532E-5	2.5990835827857114E-4	EGFR; EP300; ESR1; JAK2; SHC1; 	EGFR|IDBG-16933|ENSG00000146648|1956|; EP300|IDBG-8992|ENSG00000100393|2033|; ESR1|IDBG-97997|ENSG00000091831|2099|; JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Regulation of nuclear beta catenin signaling and target gene transcription	15295	PID NCI	9606	7	72	3.1129098306698034E-5	2.7423253270186364E-4	AR; CHD8; EP300; TBL1X; TBL1XR1; TLE1; TLE2; 	AR|IDBG-73722|ENSG00000169083|367|; CHD8|IDBG-2645|ENSG00000100888|57680|; EP300|IDBG-8992|ENSG00000100393|2033|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; 
Wnt signaling pathway	4172	PID BIOCARTA	9606	5	30	3.1945684693876594E-5	2.770289844547111E-4	CSNK2A1; LRP6; MAP3K7; TAB1; TLE1; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; LRP6|IDBG-20075|ENSG00000070018|4040|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; TAB1|IDBG-8281|ENSG00000100324|10454|; TLE1|IDBG-73128|ENSG00000196781|7088|; 
Alpha6Beta4Integrin	15905	NETPATH	9606	7	74	3.7248025243206796E-5	3.180408309227657E-4	AR; EGFR; SHC1; SMAD2; SMAD3; YWHAE; YWHAQ; 	AR|IDBG-73722|ENSG00000169083|367|; EGFR|IDBG-16933|ENSG00000146648|1956|; SHC1|IDBG-103007|ENSG00000160691|6464|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; YWHAE|IDBG-14629|ENSG00000108953|7531|; YWHAQ|IDBG-27933|ENSG00000134308|10971|; 
Transcriptional regulation of white adipocyte differentiation	13879	REACTOME	9606	7	77	4.82522436562781E-5	4.0575750347324766E-4	EP300; HDAC3; NCOA6; NCOR1; NCOR2; TBL1X; TBL1XR1; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOA6|IDBG-68724|ENSG00000198646|23054|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; 
Cell Cycle, Mitotic	19119	REACTOME	9606	17	454	4.9198472274301E-5	4.0753958376473214E-4	CCNB2; CSNK1E; CSNK2A1; EP300; GMNN; HIST2H2AC; HIST2H2BE; HIST3H3; MCM2; MIS12; ODF2; PCNA; PRIM1; PRIM2; TUBA4A; UBC; YWHAE; 	CCNB2|IDBG-14456|ENSG00000157456|9133|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; EP300|IDBG-8992|ENSG00000100393|2033|; GMNN|IDBG-65780|ENSG00000112312|51053|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; MCM2|IDBG-54871|ENSG00000073111|4171|; MIS12|IDBG-21731|ENSG00000167842|79003|; ODF2|IDBG-88092|ENSG00000136811|4957|; PCNA|IDBG-50801|ENSG00000132646|5111|; PRIM1|IDBG-41538|ENSG00000198056|5557|; PRIM2|IDBG-91619|ENSG00000146143|5558|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; UBC|IDBG-64029|ENSG00000150991|7316|; YWHAE|IDBG-14629|ENSG00000108953|7531|; 
deactivation of the beta-catenin transactivating complex	17798	REACTOME	9606	5	33	5.1625401300095606E-5	4.213543782581333E-4	AKT2; CHD8; TLE1; TLE2; UBC; 	AKT2|IDBG-51270|ENSG00000105221|208|; CHD8|IDBG-2645|ENSG00000100888|57680|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	13458	REACTOME	9606	8	109	6.492040136575114E-5	5.22185837072346E-4	EP300; HDAC3; NCOA6; NCOR1; NCOR2; SP1; TBL1X; TBL1XR1; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOA6|IDBG-68724|ENSG00000198646|23054|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; SP1|IDBG-36616|ENSG00000185591|6667|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; 
Meiotic synapsis	12911	REACTOME	9606	6	59	9.090434565109959E-5	7.207415976622897E-4	HIST2H2AC; HIST2H2BE; HIST3H3; POT1; TERF1; TERF2IP; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; POT1|IDBG-39151|ENSG00000128513|25913|; TERF1|IDBG-25349|ENSG00000147601|7013|; TERF2IP|IDBG-42783|ENSG00000166848|54386|; 
DNA Damage/Telomere Stress Induced Senescence	18208	REACTOME	9606	6	62	1.2028199005940387E-4	9.402324575066076E-4	HIST2H2AC; HIST2H2BE; HIST3H3; POT1; TERF1; TERF2IP; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; POT1|IDBG-39151|ENSG00000128513|25913|; TERF1|IDBG-25349|ENSG00000147601|7013|; TERF2IP|IDBG-42783|ENSG00000166848|54386|; 
TGF-beta signaling	16255	INOH	9606	8	120	1.2801848214188477E-4	9.868091331770284E-4	EP300; HDAC3; MAP3K7; SMAD2; SMAD3; TAB1; TLE1; TLE2; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; TAB1|IDBG-8281|ENSG00000100324|10454|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; 
TNFalpha	15913	NETPATH	9606	12	270	1.427187619754882E-4	0.0010850536013204924	AKT2; CSNK2A1; EGFR; EP300; HIST3H3; MAP3K7; SMAD2; SMAD3; SMARCB1; TAB1; YWHAE; YWHAQ; 	AKT2|IDBG-51270|ENSG00000105221|208|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; EGFR|IDBG-16933|ENSG00000146648|1956|; EP300|IDBG-8992|ENSG00000100393|2033|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SMARCB1|IDBG-2584|ENSG00000099956|6598|; TAB1|IDBG-8281|ENSG00000100324|10454|; YWHAE|IDBG-14629|ENSG00000108953|7531|; YWHAQ|IDBG-27933|ENSG00000134308|10971|; 
Meiosis	19435	REACTOME	9606	7	92	1.5050657650196255E-4	0.0011287993237647192	HIST2H2AC; HIST2H2BE; HIST3H3; POT1; RAD51; TERF1; TERF2IP; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; POT1|IDBG-39151|ENSG00000128513|25913|; RAD51|IDBG-6509|ENSG00000051180|5888|; TERF1|IDBG-25349|ENSG00000147601|7013|; TERF2IP|IDBG-42783|ENSG00000166848|54386|; 
formation of the beta-catenin:TCF transactivating complex	19208	REACTOME	9606	6	66	1.7066019325880034E-4	0.001246268516560976	EP300; HIST2H2AC; HIST2H2BE; HIST3H3; TLE1; TLE2; 	EP300|IDBG-8992|ENSG00000100393|2033|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; 
